title,price,star_rating,total_number_of_ratings,availability
"Lenovo Q-Series 24 Inch (60.5Cm) 1920x1080 Pixels FHD IPS Monitor | Height Adjustment, 2X3W Speakers, 75Hz, AMD FreeSync, HDMI, DP, Smart Display Customization, Raven Black",12899,4.4,1797,In stock
"Lenovo L-Series 68.58 Cm (27 Inch) (68.58 Cm) FHD IPS Ultraslim Monitor, 1920 x 1080 Pixels |16.7 Mn Colors, 75Hz, 4ms, AMD FreeSync, HDMI, TUV Eye Comfort & Low Blue Light, Raven Black",13199,4.4,281,In stock
"Acer EK220Q 21.5 Inch (54.61 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 1 MS VRB, 100Hz Refresh I 250 Nits I HDMI & VGA Ports with HDMI Cable I Eye Care Features (Black)",6299,4.2,2781,In stock
"Acer EK220Q 21.5 Inch (54.61 Cm) Full HD (1920x1080 Pixels) VA Panel LCD Monitor with LED Back Light I 250 Nits I HDMI, VGA Ports (Black)",6175,4.2,2781,In stock
"ZEBRONICS 24 Inch (60.4 Cm) Widescreen 1920 X 1080 Pixels LED Monitor, IPS, Ultra Slim, FHD 1920x1080, HDMI, VGA, 250nits, Built in Speaker, Wall mountable, 75hz ZEB-A24FHD, Black",7499,3.8,329,In stock
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black",12799,3.8,386,In stock
"Samsung 24-inch (60.46cm) 1920 X 1080 Pixels FHD Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LF24T350FHWXXL, Dark Blue Gray)",9399,4.4,3299,In stock
"BenQ GW2480 24 inch (60 cm) 1920 x 1080 Pixels IPS Full HD Ultra-Slim Bezel Monitor- Eye Care, Anti-Glare, Brightness Intelligence, Low Blue Light, HDMI, DP, Speakers, VESA Wall Mountable (Black)",8929,4.4,18982,In stock
"ZEBRONICS Zeb-V16HD LED Monitor with15.4 with Supporting HDMI, has VGA Input, HD 1280 x 800, Glossy Panel, Slim Feature and Wall mountable.",3299,3.5,250,In stock
"ZEBRONICS Zeb-V19Hd 18.5 Inch (46.99 Cm) Led Monitor with Supporting Hdmi, Vga Input, Hd 1366 X 768 Pixels, 16.7M Colors, Glossy Panel, Slim Design & Wall Mountable, Black",4399,3.7,2164,In stock
"ViewSonic VA2209-H Full HD 1080p SuperClear® IPS 22 Inch Eye-Care Monitor, Adaptive Sync 75Hz, 104% sRGB, Flicker Free, Tilt (Forward/Back), VESA, HDMI, 3.5mm Audio Out",7399,,,In stock
"MSI PRO MP242 Business & Productivity Monitor | Full HD 23.8 Inch LCD (1920 x 1080) | Anti Glare, Anti-Flicker, Low Blue Light Display - 1080P | IPS Panel | HDMI/VGA Ports | VESA Mountable | Black",9199,4.3,206,Only 2 left in stock
"Dell Professional 24 inches, 1920 x 1080 Pixels Full HD Monitor - Wall Mountable, Height Adjustable, IPS Panel with HDMI, VGA DP & USB Ports - P2422H (Black)",14999,4.4,547,In stock
"ZEBRONICS A22FHD LED (21.5"") (54.61 cm) LED 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Wall Mount Facility, max 220 Nits Brightness, Green",4999,3.8,533,In stock
Acer HA220Q 21.5 Inch (54.61 Cm) Full HD IPS Ultra Slim (6.6Mm Thick) LCD Monitor with LED Back Light Technology I Frameless Design I AMD Free Sync I Eye Care Features I Stereo Speakers (White),8299,4.4,2057,In stock
"HP M24f 23.8-Inch(60.45cm) Eye Safe Certified Full HD 1920 x 1080 Pixels IPS 3-Sided Micro-Edge LED Monitor, 75Hz, AMD Free Sync with 1xVGA, 1xHDMI 1.4 Ports, 300 nits Silver",12490,4.3,3019,In stock
"Acer Nitro VG240YS 23.8 Inch (60.45 Cm) IPS Full HD 1920 X 1080 Pixels, Gaming LCD Monitor with LED Backlight I AMD Freesync I 0.5 MS Response time I 165Hz Refresh Rate I Dp, 2 X Hdmi, Black",11665,4.4,1697,In stock
"LG 22Mp68Vq 22 Inch (55 Cm) LCD 1920 X 1080 Pixels IPS Monitor - Full Hd, with Vga, Hdmi, Dvi, Audio Out Ports (Black)",8269,4.4,8505,In stock
"ZEBRONICS 68.5cms 27inch Widescreen Monitor, IPS, Ultra Slim, FHD 1920x1080 Pixels, HDMI, VGA, 250nits, Built in Speaker, Wall mountable, 75hz - ZEB-A27FHD LED, Black",9299,3.8,329,In stock
"LG Ultrawide 29Wl500, 29 Inch (73 Cm) 21:9 Wfhd LCD 2560 X 1080 Pixels IPS Display - HDR 10, AMD Freesync, Srgb 99%, Slim Bezel, Multitasking Monitor, Hdmi X 2 (Black)",15999,4.3,608,In stock
"OnePlus 24 inch Full HD LCD Monitor LED Backlit IPS Panel with 3-Side Bezel Less, USB Type-C connectivity with 18W Charging,8 mm Slim, Flicker Free Monitor (Response Time: 5 ms, 75 Hz Refresh Rate)",11999,3.5,28,In stock
"Amazon Basics 18.5 Inch (46.99 Cm) HD LED Backlit LCD Computer Monitor, Slim Design, 1366 x 768 Pixels, 200 Nits with VGA Connectivity, 16.7 M Colors, 5 MS Response Time, Black",5299,3.8,112,In stock
